Operateur;lon;lat;2G;3G;4G
20815;-4.489263;48.42442;0;1;0
20801;-4.489255;48.424457;1;1;1
20801;-4.49996;48.499626;1;1;0
20810;-4.483765;48.391819;1;1;1
20801;-4.483274;48.38857;1;1;1
20820;-4.482725;48.388333;1;1;1
20801;-4.483078;48.393092;1;1;1
20815;-4.483682;48.397608;0;1;1
20810;-4.483463;48.397785;1;1;1
20820;-4.482667;48.393732;1;0;0
20801;-4.482643;48.399174;1;1;1
20815;-4.50694;48.571394;0;1;1
20820;-4.506684;48.57113;1;1;0
20801;-4.481276;48.396441;0;1;1
20810;-4.481233;48.396326;1;1;1
20820;-4.483907;48.41706;1;1;1
20820;-4.48048;48.393428;1;0;1
20820;-4.480342;48.39294;1;1;1
20801;-4.479821;48.39328;0;0;0
20820;-4.480462;48.401102;1;1;1
20801;-4.480615;48.415967;1;1;1
20801;-4.475358;48.395478;1;1;1
20801;-4.477125;48.408913;1;1;1
20810;-4.471624;48.385556;1;1;1
20810;-4.472295;48.390457;1;1;1
20801;-4.472189;48.390572;1;1;1
20820;-4.471416;48.385624;1;1;1
20810;-4.474983;48.413693;1;1;1
20810;-4.472727;48.397967;1;1;1
20810;-4.471939;48.394339;1;1;1
20820;-4.476532;48.429121;1;0;0
20801;-4.454698;48.281377;1;1;0
20815;-4.47256;48.413837;0;1;1
20810;-4.467399;48.38295;1;0;0
20815;-4.477793;48.456983;0;1;1
20820;-4.477726;48.456987;1;1;1
20801;-4.420772;48.057811;1;1;0
20801;-4.477353;48.457417;1;1;1
20810;-4.46827;48.403734;1;1;1
20815;-4.468258;48.403744;0;1;1
20801;-4.468235;48.403872;1;1;1
20801;-4.473719;48.447571;1;1;1
20801;-4.495684;48.606632;1;1;1
20810;-4.495597;48.606601;1;1;0
20820;-4.464972;48.403066;1;1;1
20810;-4.46496;48.403075;0;1;0
20820;-4.462619;48.396265;1;1;1
20815;-4.462437;48.396412;0;1;1
20810;-4.461172;48.395534;1;1;1
20801;-4.461124;48.395582;1;1;1
20820;-4.463574;48.414983;1;1;1
20810;-4.462452;48.407481;1;1;1
20801;-4.463097;48.415067;0;1;0
20815;-4.461049;48.406874;0;1;1
20810;-4.462854;48.4289;1;1;1
20801;-4.459292;48.419808;1;1;1
20810;-4.458762;48.421902;1;1;1
20801;-4.456239;48.405984;1;1;1
20820;-4.45832;48.429285;1;1;1
20801;-4.458227;48.4293;1;1;0
20815;-4.457546;48.430048;0;1;1
20820;-4.448969;48.400668;1;1;1
20801;-4.447773;48.392538;1;1;1
20810;-4.44772;48.392352;1;1;1
20815;-4.447219;48.391976;0;1;1
20801;-4.447952;48.401247;1;1;1
20810;-4.446066;48.40048;1;1;1
20815;-4.446024;48.400474;0;1;1
20801;-4.360858;47.805668;1;1;1
20810;-4.451996;48.457001;1;1;1
20801;-4.451895;48.457053;1;1;0
20801;-4.442595;48.428514;0;1;0
20801;-4.356366;47.824364;1;1;1
20820;-4.429976;48.354556;1;1;1
20820;-4.378257;47.993153;1;1;1
20810;-4.435882;48.405134;1;1;1
20801;-4.435402;48.405001;1;1;0
20820;-4.351115;47.809725;1;1;1
20810;-4.35105;47.809738;1;1;1
20815;-4.427226;48.356392;0;1;1
20810;-4.427149;48.356234;1;1;1
20801;-4.345384;47.813204;0;1;1
20820;-4.444685;48.530943;1;1;1
20801;-4.444701;48.531059;1;1;0
20801;-4.438294;48.498544;0;1;0
20801;-4.421894;48.399027;1;1;0
20801;-4.424791;48.422358;0;1;0
20820;-4.416851;48.407025;1;1;1
20801;-4.415298;48.411975;1;1;0
20801;-4.417412;48.438707;1;1;1
20820;-4.415738;48.438396;1;1;1
20810;-4.415769;48.438611;1;1;1
20815;-4.415721;48.438469;0;1;0
20820;-4.422775;48.504162;1;1;1
20810;-4.422693;48.504158;1;1;1
20801;-4.422669;48.504177;1;1;1
20801;-4.406804;48.397588;1;1;1
20801;-4.343048;47.960511;1;1;0
20810;-4.353561;48.082274;1;1;1
20820;-4.353545;48.082257;1;1;1
20815;-4.353324;48.082216;0;1;1
20801;-4.401375;48.434298;1;1;1
20801;-4.334988;47.998642;1;1;0
20820;-4.308487;47.816457;1;1;1
20810;-4.308423;47.816479;1;1;1
20820;-4.38769;48.409952;1;1;1
20810;-4.387372;48.40981;1;1;1
20801;-4.387336;48.409938;1;1;0
20801;-4.340549;48.089667;1;1;1
20810;-4.38645;48.421569;1;1;1
20815;-4.386445;48.421723;0;1;1
20820;-4.386395;48.421663;1;1;1
20801;-4.33582;48.080979;1;1;1
20801;-4.374839;48.375622;1;1;1
20820;-4.328742;48.093232;0;1;0
20810;-4.346519;48.227546;1;1;0
20820;-4.346525;48.227681;1;1;1
20815;-4.346525;48.227681;0;1;1
20801;-4.346443;48.227578;1;1;1
20820;-4.32742;48.091191;1;1;1
20810;-4.326957;48.097763;1;1;0
20801;-4.326939;48.097728;1;1;1
20815;-4.308028;47.962022;0;1;0
20810;-4.307883;47.96185;1;1;1
20801;-4.324663;48.086203;0;1;0
20810;-4.365641;48.385268;1;1;1
20801;-4.365605;48.385397;1;0;0
20820;-4.365561;48.385273;1;1;0
20820;-4.283402;47.795417;1;1;1
20810;-4.28336;47.79541;1;1;1
